id,name,type,shipping_province_id
475,Teluk Wondama,Kabupaten,25
60,Bengkalis,Kabupaten,26
120,Dumai,Kota,26
147,Indragiri Hilir,Kabupaten,26
148,Indragiri Hulu,Kabupaten,26
166,Kampar,Kabupaten,26
187,Kepulauan Meranti,Kabupaten,26
207,Kuantan Singingi,Kabupaten,26
350,Pekanbaru,Kota,26
351,Pelalawan,Kabupaten,26
381,Rokan Hilir,Kabupaten,26
382,Rokan Hulu,Kabupaten,26
406,Siak,Kabupaten,26
253,Majene,Kabupaten,27
262,Mamasa,Kabupaten,27
265,Mamuju,Kabupaten,27
266,Mamuju Utara,Kabupaten,27
362,Polewali Mandar,Kabupaten,27
38,Bantaeng,Kabupaten,28
47,Barru,Kabupaten,28
87,Bone,Kabupaten,28
95,Bulukumba,Kabupaten,28
123,Enrekang,Kabupaten,28
132,Gowa,Kabupaten,28
162,Jeneponto,Kabupaten,28
244,Luwu,Kabupaten,28
245,Luwu Timur,Kabupaten,28
246,Luwu Utara,Kabupaten,28
254,Makassar,Kota,28
275,Maros,Kabupaten,28
328,Palopo,Kota,28
333,Pangkajene Kepulauan,Kabupaten,28
336,Parepare,Kota,28
360,Pinrang,Kabupaten,28
396,Selayar (Kepulauan Selayar),Kabupaten,28
408,Sidenreng Rappang/Rapang,Kabupaten,28
416,Sinjai,Kabupaten,28
423,Soppeng,Kabupaten,28
448,Takalar,Kabupaten,28
451,Tana Toraja,Kabupaten,28
486,Toraja Utara,Kabupaten,28
493,Wajo,Kabupaten,28
25,Banggai,Kabupaten,29
26,Banggai Kepulauan,Kabupaten,29
98,Buol,Kabupaten,29
119,Donggala,Kabupaten,29
291,Morowali,Kabupaten,29
329,Palu,Kota,29
338,Parigi Moutong,Kabupaten,29
366,Poso,Kabupaten,29
410,Sigi,Kabupaten,29
482,Tojo Una-Una,Kabupaten,29
483,Toli-Toli,Kabupaten,29
53,Bau-Bau,Kota,30
85,Bombana,Kabupaten,30
101,Buton,Kabupaten,30
102,Buton Utara,Kabupaten,30
182,Kendari,Kota,30
198,Kolaka,Kabupaten,30
199,Kolaka Utara,Kabupaten,30
200,Konawe,Kabupaten,30
201,Konawe Selatan,Kabupaten,30
202,Konawe Utara,Kabupaten,30
295,Muna,Kabupaten,30
494,Wakatobi,Kabupaten,30
73,Bitung,Kota,31
81,Bolaang Mongondow (Bolmong),Kabupaten,31
82,Bolaang Mongondow Selatan,Kabupaten,31
83,Bolaang Mongondow Timur,Kabupaten,31
84,Bolaang Mongondow Utara,Kabupaten,31
188,Kepulauan Sangihe,Kabupaten,31
190,Kepulauan Siau Tagulandang Biaro (Sitaro),Kabupaten,31
192,Kepulauan Talaud,Kabupaten,31
204,Kotamobagu,Kota,31
267,Manado,Kota,31
285,Minahasa,Kabupaten,31
286,Minahasa Selatan,Kabupaten,31
287,Minahasa Tenggara,Kabupaten,31
288,Minahasa Utara,Kabupaten,31
485,Tomohon,Kota,31
12,Agam,Kabupaten,32
93,Bukittinggi,Kota,32
116,Dharmasraya,Kabupaten,32
186,Kepulauan Mentawai,Kabupaten,32
236,Lima Puluh Koto/Kota,Kabupaten,32
318,Padang,Kota,32
321,Padang Panjang,Kota,32
322,Padang Pariaman,Kabupaten,32
337,Pariaman,Kota,32
339,Pasaman,Kabupaten,32
340,Pasaman Barat,Kabupaten,32
345,Payakumbuh,Kota,32
357,Pesisir Selatan,Kabupaten,32
394,Sawah Lunto,Kota,32
411,Sijunjung (Sawah Lunto Sijunjung),Kabupaten,32
420,Solok,Kabupaten,32
421,Solok,Kota,32
422,Solok Selatan,Kabupaten,32
453,Tanah Datar,Kabupaten,32
40,Banyuasin,Kabupaten,33
121,Empat Lawang,Kabupaten,33
220,Lahat,Kabupaten,33
242,Lubuk Linggau,Kota,33
292,Muara Enim,Kabupaten,33
297,Musi Banyuasin,Kabupaten,33
298,Musi Rawas,Kabupaten,33
312,Ogan Ilir,Kabupaten,33
313,Ogan Komering Ilir,Kabupaten,33
314,Ogan Komering Ulu,Kabupaten,33
315,Ogan Komering Ulu Selatan,Kabupaten,33
316,Ogan Komering Ulu Timur,Kabupaten,33
324,Pagar Alam,Kota,33
327,Palembang,Kota,33
367,Prabumulih,Kota,33
15,Asahan,Kabupaten,34
52,Batu Bara,Kabupaten,34
70,Binjai,Kota,34
110,Dairi,Kabupaten,34
112,Deli Serdang,Kabupaten,34
137,Gunungsitoli,Kota,34
146,Humbang Hasundutan,Kabupaten,34
173,Karo,Kabupaten,34
217,Labuhan Batu,Kabupaten,34
218,Labuhan Batu Selatan,Kabupaten,34
219,Labuhan Batu Utara,Kabupaten,34
229,Langkat,Kabupaten,34
268,Mandailing Natal,Kabupaten,34
278,Medan,Kota,34
307,Nias,Kabupaten,34
308,Nias Barat,Kabupaten,34
309,Nias Selatan,Kabupaten,34
310,Nias Utara,Kabupaten,34
319,Padang Lawas,Kabupaten,34
320,Padang Lawas Utara,Kabupaten,34
323,Padang Sidempuan,Kota,34
325,Pakpak Bharat,Kabupaten,34
353,Pematang Siantar,Kota,34
389,Samosir,Kabupaten,34
404,Serdang Bedagai,Kabupaten,34
407,Sibolga,Kota,34
413,Simalungun,Kabupaten,34
459,Tanjung Balai,Kota,34
463,Tapanuli Selatan,Kabupaten,34
464,Tapanuli Tengah,Kabupaten,34
465,Tapanuli Utara,Kabupaten,34
470,Tebing Tinggi,Kota,34
481,Toba Samosir,Kabupaten,34
