urban,sub_district,city,postal_code,province_code
GIRIMULIYA,LAHAT,LAHAT,31419,16
GIRIYOSO,JAYA LOKA,MUSI RAWAS,31665,16
GUCI,UJAN MAS,MUARA ENIM,31351,16
GUMAI,GELUMBANG,MUARA ENIM,31171,16
GUMAWANG,BELITANG,OGAN KOMERING ULU TIMUR,32382,16
GUNA MAKMUR,SEMIDANG AJI,OGAN KOMERING ULU,32156,16
GUNTUNG JAYA,SUNGAI ARE,OGAN KOMERING ULU SELATAN,32273,16
GUNUNG AGUNG,MERAPI BARAT,LAHAT,31471,16
GUNUNG AGUNG,SEMENDO DARAT TENGAH,MUARA ENIM,31356,16
GUNUNG AGUNG,TANJUNG SAKTI PUMI,LAHAT,31581,16
GUNUNG AJI,KIKIM TIMUR,LAHAT,31452,16
GUNUNG AJI,WARKUK RANAU SELATAN,OGAN KOMERING ULU SELATAN,32274,16
GUNUNG AYU,TANJUNG SAKTI PUMU,LAHAT,31581,16
GUNUNG BATU,CEMPAKA,OGAN KOMERING ULU TIMUR,32384,16
GUNUNG BATU,PULAU BERINGIN,OGAN KOMERING ULU SELATAN,32273,16
GUNUNG CAHYA,BUAY RAWAN,OGAN KOMERING ULU SELATAN,32211,16
GUNUNG DEMPO,PAGAR ALAM SELATAN,PAGAR ALAM,31529,16
GUNUNG GAJAH,LAHAT,LAHAT,31418,16
GUNUNG GARE,MUARADUA KISAM,OGAN KOMERING ULU SELATAN,32272,16
GUNUNG IBUL BARAT,PRABUMULIH TIMUR,PRABUMULIH,31117,16
GUNUNG IBUL,PRABUMULIH TIMUR,PRABUMULIH,31113,16
GUNUNG JATI,CEMPAKA,OGAN KOMERING ULU TIMUR,32384,16
GUNUNG KARTO,KIKIM TIMUR,LAHAT,31452,16
GUNUNG KAYA,JARAI,LAHAT,31591,16
GUNUNG KEMALA,PRABUMULIH BARAT,PRABUMULIH,31122,16
GUNUNG KEMBANG BARU,BATUKUNING LAKITAN ULU (BTS) / CECAR,MUSI RAWAS,31652,16
GUNUNG KEMBANG LAMA,BATUKUNING LAKITAN ULU (BTS) / CECAR,MUSI RAWAS,31652,16
GUNUNG KEMBANG,KIKIM TIMUR,LAHAT,31452,16
GUNUNG KEMBANG,MERAPI TIMUR,LAHAT,31471,16
GUNUNG KEMBANG,TANJUNG SAKTI PUMI,LAHAT,31581,16
GUNUNG KERTO,TANJUNG SAKTI PUMI,LAHAT,31581,16
GUNUNG KURIPAN,PENGANDONAN,OGAN KOMERING ULU,32155,16
GUNUNG LEWAT,KOTA AGUNG,LAHAT,31462,16
GUNUNG LIWAT,PENGANDONAN,OGAN KOMERING ULU,32155,16
GUNUNG LIWAT,SUKAMERINDU,LAHAT,31356,16
GUNUNG MAS,BELITANG,OGAN KOMERING ULU TIMUR,32382,16
GUNUNG MEGANG DALAM,GUNUNG MEGANG,MUARA ENIM,31352,16
GUNUNG MEGANG LUAR,GUNUNG MEGANG,MUARA ENIM,31352,16
GUNUNG MEGANG,JARAI,LAHAT,31591,16
GUNUNG MEGANG,KISAM TINGGI,OGAN KOMERING ULU SELATAN,32279,16
GUNUNG MENANG,PENUKAL (PENUKAL ABAB),MUARA ENIM,31315,16
GUNUNG MERAKSA BARU,PENDOPO,EMPAT LAWANG,31593,16
GUNUNG MERAKSA LAMA,PENDOPO,EMPAT LAWANG,31593,16
GUNUNG MERAKSA,LUBUK BATANG,OGAN KOMERING ULU,32192,16
GUNUNG MERAKSA,PENGANDONAN,OGAN KOMERING ULU,32155,16
GUNUNG MERAKSA,TANJUNG SAKTI PUMU,LAHAT,31581,16
GUNUNG RAJA,LUBAI,MUARA ENIM,31173,16
GUNUNG RAJA,PENUKAL (PENUKAL ABAB),MUARA ENIM,31315,16
GUNUNG RAJA,RAMBANG DANGKU,MUARA ENIM,31172,16
GUNUNG RAYA,TANJUNG SAKTI PUMU,LAHAT,31581,16
GUNUNG RAYA,WARKUK RANAU SELATAN,OGAN KOMERING ULU SELATAN,32274,16
GUNUNG SUGIH,SEMENDAWAI SUKU III,OGAN KOMERING ULU TIMUR,32386,16
GUNUNG TERANG,BUAY SANDANG AJI,OGAN KOMERING ULU SELATAN,32277,16
GUNUNG TERANG,MADANG SUKU I,OGAN KOMERING ULU TIMUR,32362,16
GUNUNG TIGA,MUARADUA,OGAN KOMERING ULU SELATAN,32211,16
GUNUNG TIGA,ULU OGAN,OGAN KOMERING ULU,32157,16
GURU AGUNG,SUKAMERINDU,LAHAT,31356,16
HANDAYANI MULYA,TALANG UBI,MUARA ENIM,31214,16
HANGKUSA / LINGKUSA,BUAY PEMATANG RIBU RANAU TENGAH,OGAN KOMERING ULU SELATAN,32274,16
HARAPAN JAYA,MUARA ENIM,MUARA ENIM,31311,16
HARAPAN JAYA,SEMENDAWAI TIMUR,OGAN KOMERING ULU TIMUR,32185,16
HARAPAN JAYA,SUNGAI MENANG,OGAN KOMERING ILIR,30681,16
HARAPAN JAYA,TANAH ABANG,MUARA ENIM,31314,16
HARAPAN MAKMUR,MUARA LAKITAN,MUSI RAWAS,31666,16
HARAPAN MULYA / MULIA,MUARA BELIDA,MUARA ENIM,31171,16
HARAPAN,PEMULUTAN,OGAN ILIR,30653,16
HARIMAU TANDANG,PEMULUTAN SELATAN,OGAN ILIR,30653,16
HARISAN JAYA,CEMPAKA,OGAN KOMERING ULU TIMUR,32384,16
HARJO MULYO,MADANG SUKU I,OGAN KOMERING ULU TIMUR,32362,16
HARJO WINANGUN,BELITANG,OGAN KOMERING ULU TIMUR,32382,16
HIDUP BARU,BENAKAT,MUARA ENIM,31626,16
IBUL BESAR I,PEMULUTAN,OGAN ILIR,30653,16
IBUL BESAR II,PEMULUTAN,OGAN ILIR,30653,16
IBUL BESAR III,PEMULUTAN,OGAN ILIR,30653,16
IBUL DALAM,RAMBANG KUANG,OGAN ILIR,30869,16
IBUL,LEMBAK,MUARA ENIM,31171,16
INDRALAYA INDAH,INDRALAYA,OGAN ILIR,30862,16
INDRALAYA MULIA,INDRALAYA,OGAN ILIR,30862,16
INDRALAYA RAYA,INDRALAYA,OGAN ILIR,30862,16
INDRAMAYU,TANJUNG AGUNG,MUARA ENIM,31355,16
INDRAPURA,MUARA SUGIHAN,BANYUASIN,30975,16
JADI MULYA I,NIBUNG,MUSI RAWAS,31667,16
JADI MULYA,AIR SUGIHAN,OGAN KOMERING ILIR,30656,16
JADI MULYA,NIBUNG,MUSI RAWAS,31667,16
JADIAN BARU,MULAK ULU,LAHAT,31453,16
JADIAN LAMA,MULAK ULU,LAHAT,31453,16
JAGABAYA,KIKIM SELATAN,LAHAT,31452,16
JAGALANO (JAGALANA),RANTAU PANJANG,OGAN ILIR,30661,16
JAGARAGA,BUANA PEMACA,OGAN KOMERING ULU SELATAN,32264,16
JAGARAJO (JAGA RAYA),RANTAU PANJANG,OGAN ILIR,30661,16
JAJARAN BARU II,MEGANG SAKTI,MUSI RAWAS,31657,16
JAJARAN BARU,KIKIM BARAT,LAHAT,31452,16
JAJARAN BARU,MEGANG SAKTI,MUSI RAWAS,31657,16
JAJARAN LAMA,KIKIM BARAT,LAHAT,31452,16
JALUR MULYA,MUARA SUGIHAN,BANYUASIN,30975,16
JAMBE (TALANG JAMBE),SUKARAMI,PALEMBANG,30151,16
JAMBU ILIR,TANJUNG LUBUK,OGAN KOMERING ILIR,30671,16
JAMBU,GELUMBANG,MUARA ENIM,31171,16
JAMBUREJO,SUMBER HARTA,MUSI RAWAS,30771,16
JANGKAR MAS,DEMPO UTARA,PAGAR ALAM,31521,16
JANGKAT,ULU RAWAS,MUSI RAWAS,31669,16
JARAI,JARAI,LAHAT,31591,16
JARAKAN,PENDOPO,EMPAT LAWANG,31593,16
JATI MULYO I,BELITANG MADANG RAYA,OGAN KOMERING ULU TIMUR,32362,16
JATI MULYO II (MULYA II),MADANG SUKU II,OGAN KOMERING ULU TIMUR,32366,16
JATI SARI,BANYUASIN II,BANYUASIN,30971,16
JATI,PULAU PINANG,LAHAT,31461,16
JATISARI,MADANG SUKU I,OGAN KOMERING ULU TIMUR,32362,16
JAWA KANAN SS,LUBUK LINGGAU TIMUR DUA (II),LUBUK LINGGAU,31621,16
JAWA KANAN,LUBUK LINGGAU TIMUR DUA (II),LUBUK LINGGAU,31621,16
JAWA KIRI,LUBUK LINGGAU TIMUR DUA (II),LUBUK LINGGAU,31622,16
JAYA AGUNG,LALAN (SUNGAI LALAN),MUSI BANYUASIN,30758,16
JAYA BAKTI,MADANG SUKU I,OGAN KOMERING ULU TIMUR,32362,16
JAYA BAKTI,TUAH NEGERI,MUSI RAWAS,31663,16
JAYA BHAKTI,MESUJI,OGAN KOMERING ILIR,30681,16
JAYA LOKA,TEBING TINGGI,EMPAT LAWANG,31453,16
JAYA MULIA / MULYA,SEMENDAWAI SUKU III,OGAN KOMERING ULU TIMUR,32386,16
JAYA TUNGGAL,TUAH NEGERI,MUSI RAWAS,31663,16
JAYAPURA,JAYAPURA,OGAN KOMERING ULU TIMUR,32381,16
JEJAWI,JEJAWI,OGAN KOMERING ILIR,30652,16
JEMARING,JARAI,LAHAT,31591,16
JEMBATAN GANTUNG,SUNGAI KERUH,MUSI BANYUASIN,30757,16
JEMENANG,RAMBANG DANGKU,MUARA ENIM,31172,16
JENTIAN,PAJAR BULAN,LAHAT,31356,16
JEPARA,BUAY PEMATANG RIBU RANAU TENGAH,OGAN KOMERING ULU SELATAN,32274,16
JERAMBAH RENGAS,TULUNG SELAPAN,OGAN KOMERING ILIR,30655,16
JERMUN,PAMPANGAN,OGAN KOMERING ILIR,30654,16
JIRAK,SUNGAI KERUH,MUSI BANYUASIN,30757,16
JIWA BARU,LUBAI,MUARA ENIM,31173,16
JOGOBOYO (JOYOBOYO),LUBUK LINGGAU UTARA DUA (II),LUBUK LINGGAU,31619,16
JOKOH,DEMPO TENGAH,PAGAR ALAM,31521,16
JUA JUA,KAYU AGUNG,OGAN KOMERING ILIR,30616,16
JUD I,SANGA DESA,MUSI BANYUASIN,30759,16
JUD II,SANGA DESA,MUSI BANYUASIN,30759,16
JUKDADAK,TANJUNG LUBUK,OGAN KOMERING ILIR,30671,16
JUKUNG,LUBUK LINGGAU SELATAN SATU (I),LUBUK LINGGAU,31626,16
JUNGAI,RAMBANG KAPAK TENGAH,PRABUMULIH,31131,16
JUNGKAL,PAMPANGAN,OGAN KOMERING ILIR,30654,16
JURU TARO (TAROH),MUARA SUGIHAN,BANYUASIN,30975,16
KAGELANG BLAMBANGAN,BUAY RUNJUNG,OGAN KOMERING ULU SELATAN,32278,16
KAHURIPAN BARU,RAMBANG DANGKU,MUARA ENIM,31172,16
KAHURIPAN SELATAN,RAMBANG DANGKU,MUARA ENIM,31172,16
KALAMPADU (KELAMPADU),MUARA KUANG,OGAN ILIR,30865,16
KALI BENING,TUGUMULYO,MUSI RAWAS,31662,16
KALI BERAU,BAYUNG LENCIR,MUSI BANYUASIN,30756,16
KALI DERAS,MESUJI,OGAN KOMERING ILIR,30681,16
KALI SERAYU,LUBUK LINGGAU UTARA DUA (II),LUBUK LINGGAU,31619,16
KALIDONI,KALIDONI,PALEMBANG,30119,16
KAMAL,PEMULUTAN BARAT,OGAN ILIR,30653,16
KAMBANG,JAYAPURA,OGAN KOMERING ULU TIMUR,32381,16
KAMPAI,PENINJAUAN,OGAN KOMERING ULU,32191,16
KAMPUNG BARU,MESUJI MAKMUR,OGAN KOMERING ILIR,30681,16
KANCE DIWE,DEMPO SELATAN,PAGAR ALAM,31521,16
KANDIS I,KANDIS,OGAN ILIR,30867,16
KANDIS II,KANDIS,OGAN ILIR,30867,16
KANDIS,PAMPANGAN,OGAN KOMERING ILIR,30654,16
KANGKUNG ILIR,SEMENDAWAI BARAT,OGAN KOMERING ULU TIMUR,32184,16
KANGKUNG,SEMENDAWAI BARAT,OGAN KOMERING ULU TIMUR,32184,16
KAPITAN,SUKAMERINDU,LAHAT,31356,16
KAPUK,PEMULUTAN SELATAN,OGAN ILIR,30653,16
KARANG AGUNG,ABAB,MUARA ENIM,31315,16
KARANG AGUNG,BATURAJA BARAT,OGAN KOMERING ULU,32121,16
KARANG AGUNG,JEJAWI,OGAN KOMERING ILIR,30652,16
KARANG AGUNG,KOTA AGUNG,LAHAT,31462,16
KARANG AGUNG,LALAN (SUNGAI LALAN),MUSI BANYUASIN,30758,16
KARANG AGUNG,LUBAI,MUARA ENIM,31173,16
KARANG AGUNG,PAGAR GUNUNG,LAHAT,31461,16
KARANG AGUNG,SIMPANG,OGAN KOMERING ULU SELATAN,32264,16
KARANG AGUNG,TANJUNG SAKTI PUMU,LAHAT,31581,16
KARANG ANYAR,GANDUS,PALEMBANG,30148,16
KARANG ANYAR,LAHAT,LAHAT,31419,16
KARANG ANYAR,LAWANG WETAN,MUSI BANYUASIN,30752,16
KARANG ANYAR,MUARA PADANG,BANYUASIN,30975,16
KARANG ANYAR,RUPIT,MUSI RAWAS,31654,16
KARANG ANYAR,SEMENDAWAI TIMUR,OGAN KOMERING ULU TIMUR,32185,16
KARANG ANYAR,SIKAP DALAM,EMPAT LAWANG,31594,16
KARANG ANYAR,SUMBER MARGA TELANG,BANYUASIN,30974,16
KARANG ANYAR,TUNGKAL ILIR,BANYUASIN,30959,16
KARANG ARE,TALANG PADANG,EMPAT LAWANG,31596,16
KARANG ASEM,TUNGKAL ILIR,BANYUASIN,30959,16
KARANG BARU,LAHAT,LAHAT,31419,16
KARANG BARU,SUMBER MARGA TELANG,BANYUASIN,30974,16
KARANG BINANGUN,BELITANG MADANG RAYA,OGAN KOMERING ULU TIMUR,32362,16
KARANG BINDU,RAMBANG KAPAK TENGAH,PRABUMULIH,31133,16
KARANG CAHAYA,KIKIM SELATAN,LAHAT,31452,16
KARANG CAYA,PENDOPO BARAT,EMPAT LAWANG,31593,16
KARANG CAYA,SUKAMERINDU,LAHAT,31356,16
KARANG DALAM,PULAU PINANG,LAHAT,31461,16
KARANG DALO,DEMPO TENGAH,PAGAR ALAM,31521,16
KARANG DAPO BARU,SIKAP DALAM,EMPAT LAWANG,31594,16
KARANG DAPO I,KARANG DAPO,MUSI RAWAS,31658,16
KARANG DAPO II,KARANG DAPO,MUSI RAWAS,31658,16
KARANG DAPO LAMA,SIKAP DALAM,EMPAT LAWANG,31594,16
KARANG DAPO,PENINJAUAN,OGAN KOMERING ULU,32191,16
KARANG ENDAH SELATAN,GELUMBANG,MUARA ENIM,31171,16
KARANG ENDAH,BATURAJA BARAT,OGAN KOMERING ULU,32121,16
KARANG ENDAH,GELUMBANG,MUARA ENIM,31171,16
KARANG ENDAH,KIKIM TIMUR,LAHAT,31452,16
KARANG ENDAH,KOTA AGUNG,LAHAT,31462,16
KARANG ENDAH,LENGKITI,OGAN KOMERING ULU,32158,16
KARANG ENDAH,MERAPI BARAT,LAHAT,31471,16
KARANG ENDAH,RUNJUNG AGUNG,OGAN KOMERING ULU SELATAN,32278,16
KARANG ENDAH,SEMENDAWAI SUKU III,OGAN KOMERING ULU TIMUR,32386,16
KARANG GEDE,SIKAP DALAM,EMPAT LAWANG,31594,16
KARANG INDAH,BANDING AGUNG,OGAN KOMERING ULU SELATAN,32274,16
KARANG JADI,BELITANG III,OGAN KOMERING ULU TIMUR,32385,16
KARANG JAYA,BELITANG II,OGAN KOMERING ULU TIMUR,32383,16
KARANG JAYA,GANDUS,PALEMBANG,30149,16
KARANG JAYA,KARANG JAYA,MUSI RAWAS,31654,16
KARANG JAYA,PRABUMULIH TIMUR,PRABUMULIH,31115,16
KARANG KEMIRI,BELITANG,OGAN KOMERING ULU TIMUR,32382,16
KARANG KETUAN,LUBUK LINGGAU SELATAN DUA (II),LUBUK LINGGAU,31626,16
KARANG LANTANG,MUARA JAYA,OGAN KOMERING ULU,32155,16
KARANG LEBAK,MULAK ULU,LAHAT,31453,16
KARANG MAKMUR,LALAN (SUNGAI LALAN),MUSI BANYUASIN,30758,16
KARANG MANIK,BELITANG II,OGAN KOMERING ULU TIMUR,32383,16
KARANG MANUNGGAL,PULAU RIMAU,BANYUASIN,30959,16
KARANG MARGA,SEMENDAWAI SUKU III,OGAN KOMERING ULU TIMUR,32386,16
KARANG MELATI,SEMENDAWAI TIMUR,OGAN KOMERING ULU TIMUR,32185,16
KARANG MENJANGAN,SEMENDAWAI TIMUR,OGAN KOMERING ULU TIMUR,32185,16
KARANG MUKTI,LALAN (SUNGAI LALAN),MUSI BANYUASIN,30758,16
KARANG MULIA,LUBAI,MUARA ENIM,31173,16
KARANG MULYA,SEMENDAWAI TIMUR,OGAN KOMERING ULU TIMUR,32185,16
KARANG MULYA,TUNGKAL ILIR,BANYUASIN,30959,16
KARANG NEGARA,MADANG SUKU II,OGAN KOMERING ULU TIMUR,32366,16
KARANG PANGGUNG,SELANGIT,MUSI RAWAS,31625,16
KARANG PENDETA,TIGA DIHAJI,OGAN KOMERING ULU SELATAN,32277,16
KARANG RAJA,MUARA ENIM,MUARA ENIM,31311,16
KARANG RAJA,PRABUMULIH TIMUR,PRABUMULIH,31111,16
KARANG REJO,LALAN (SUNGAI LALAN),MUSI BANYUASIN,30758,16
KARANG REJO,MERAPI BARAT,LAHAT,31471,16
KARANG RINGIN I,LAWANG WETAN,MUSI BANYUASIN,30752,16
KARANG RINGIN II,LAWANG WETAN,MUSI BANYUASIN,30752,16
KARANG SARI,BANYUASIN II,BANYUASIN,30971,16
KARANG SARI,BELITANG III,OGAN KOMERING ULU TIMUR,32385,16
KARANG SARI,LALAN (SUNGAI LALAN),MUSI BANYUASIN,30758,16
KARANG SARI,LUBAI,MUARA ENIM,31173,16
KARANG TANDING,JARAI,LAHAT,31591,16
KARANG TANDING,LINTANG KANAN,EMPAT LAWANG,31593,16
KARANG TANDING,PENUKAL UTARA,MUARA ENIM,31315,16
KARANG TENGAH,BUAY MADANG TIMUR,OGAN KOMERING ULU TIMUR,32361,16
KARANG TIRTA,LALAN (SUNGAI LALAN),MUSI BANYUASIN,30758,16
KARANG WARU,LAWANG WETAN,MUSI BANYUASIN,30752,16
KARANG WARU,RUPIT,MUSI RAWAS,31654,16
KARANGAN,RAMBANG KAPAK TENGAH,PRABUMULIH,31131,16
KARANGSIA,SUNGAI MENANG,OGAN KOMERING ILIR,30681,16
KARET JAYA,BUAY PEMACA,OGAN KOMERING ULU SELATAN,32265,16
KARSA JAYA,BELITANG JAYA,OGAN KOMERING ULU TIMUR,32385,16
KARTA MULIA,LUBUK BATANG,OGAN KOMERING ULU,32192,16
KARTA MULYA,MADANG SUKU I,OGAN KOMERING ULU TIMUR,32362,16
KARTAMULIA / KERTA MULIA,GELUMBANG,MUARA ENIM,31171,16
KARYA BAKTI,LUBUK LINGGAU TIMUR DUA (II),LUBUK LINGGAU,31628,16
KARYA BARU,ALANG-ALANG LEBAR,PALEMBANG,30151,16
KARYA JAYA,KERTAPATI,PALEMBANG,30259,16
KARYA JAYA,MESUJI MAKMUR,OGAN KOMERING ILIR,30681,16
KARYA JAYA,SINAR PENINJAUAN,OGAN KOMERING ULU,32159,16
KARYA MAJU,BELITANG III,OGAN KOMERING ULU TIMUR,32385,16
KARYA MAJU,KELUANG,MUSI BANYUASIN,30754,16
KARYA MAKMUR,BELITANG JAYA,OGAN KOMERING ULU TIMUR,32385,16
KARYA MAKMUR,MADANG SUKU III,OGAN KOMERING ULU TIMUR,32366,16
KARYA MAKMUR,NIBUNG,MUSI RAWAS,31667,16
KARYA MUKTI,LALAN (SUNGAI LALAN),MUSI BANYUASIN,30758,16
KARYA MUKTI,MESUJI,OGAN KOMERING ILIR,30681,16
KARYA MUKTI,MUARA KELINGI,MUSI RAWAS,31663,16
KARYA MUKTI,SINAR PENINJAUAN,OGAN KOMERING ULU,32159,16
KARYA MULYA,MEGANG SAKTI,MUSI RAWAS,31657,16
KARYA MULYA,RAMBANG KAPAK TENGAH,PRABUMULIH,31135,16
KARYA MULYA,SEMATANG BORANG,PALEMBANG,30161,16
KARYA NYATA,SEMENDO DARAT LAUT,MUARA ENIM,31356,16
KARYA SAKTI,MUARA KELINGI,MUSI RAWAS,31663,16
KARYA TELADAN,MUARA KELINGI,MUSI RAWAS,31663,16
KARYA USAHA,MESUJI MAKMUR,OGAN KOMERING ILIR,30681,16
KARYADADI,PURWODADI,MUSI RAWAS,31668,16
KASAH,MUARA KUANG,OGAN ILIR,30865,16
KASAI,SUNGAI ROTAN,MUARA ENIM,31357,16
KASIH DEWA,RAMBANG DANGKU,MUARA ENIM,31172,16
KASIH RAJA,LUBUK KELIAT,OGAN ILIR,30868,16
KASMARAN,BABAT TOMAN,MUSI BANYUASIN,30752,16
KAYU AGUNG,KAYU AGUNG,OGAN KOMERING ILIR,30618,16
KAYU ARA BATU,MUARA BELIDA,MUARA ENIM,31171,16
KAYU ARA SAKTI,GUNUNG MEGANG,MUARA ENIM,31352,16
KAYU ARA,LUBUK LINGGAU BARAT SATU (I),LUBUK LINGGAU,31615,16
KAYU ARA,RAMBANG KUANG,OGAN ILIR,30869,16
KAYU ARA,TULUNG SELAPAN,OGAN KOMERING ILIR,30655,16
KAYU LABU,PEDAMARAN TIMUR,OGAN KOMERING ILIR,30672,16
KAYUARA KUNING,BANYUASIN III,BANYUASIN,30915,16
KAYUARA,SEKAYU,MUSI BANYUASIN,30711,16
KEBAN AGUNG SP I,KIKIM SELATAN,LAHAT,31452,16
KEBAN AGUNG,KIKIM SELATAN,LAHAT,31452,16
KEBAN AGUNG,KISAM ILIR,OGAN KOMERING ULU SELATAN,32272,16
KEBAN AGUNG,LAWANG KIDUL,MUARA ENIM,31711,16
KEBAN AGUNG,MULAK ULU,LAHAT,31453,16
KEBAN I,SANGA DESA,MUSI BANYUASIN,30759,16
KEBAN II,SANGA DESA,MUSI BANYUASIN,30759,16
KEBAN RAYA,KIKIM SELATAN,LAHAT,31452,16
KEBAN,LAHAT,LAHAT,31419,16
KEBON AGUNG,SEMIDANG AJI,OGAN KOMERING ULU,32156,16
KEBON JATI (KEBAN JATI),PASEMAH AIR KERUH,EMPAT LAWANG,31595,16
KEBON JATI,KOTA AGUNG,LAHAT,31462,16
KEBON SAHANG,RAMBUTAN,BANYUASIN,30967,16
KEBON,SALING,EMPAT LAWANG,31453,16
KEBUN BUNGA,SUKARAMI,PALEMBANG,30151,16
KEBUN JATI,SEMIDANG AJI,OGAN KOMERING ULU,32156,16
KEBUR,MERAPI BARAT,LAHAT,31471,16
KEBUR,TIANG PUMPUNG KEPUNGUT,MUSI RAWAS,31661,16
KEDATON TIMUR,PENINJAUAN,OGAN KOMERING ULU,32191,16
KEDATON,JARAI,LAHAT,31591,16
KEDATON,KAYU AGUNG,OGAN KOMERING ILIR,30617,16
KEDATON,PAGAR GUNUNG,LAHAT,31461,16
KEDATON,PENINJAUAN,OGAN KOMERING ULU,32191,16
KEDONDONG RAYE,BANYUASIN III,BANYUASIN,30953,16
KEDONDONG,PENINJAUAN,OGAN KOMERING ULU,32191,16
KEDU,BUAY MADANG TIMUR,OGAN KOMERING ULU TIMUR,32361,16
KEDUKAN BUJANG,PEMULUTAN,OGAN ILIR,30653,16
KEDUNG REJO,BUAY MADANG TIMUR,OGAN KOMERING ULU TIMUR,32361,16
KELAMPAIAN,RANTAU ALAI,OGAN ILIR,30866,16
KELAPA DUA,PULAU RIMAU,BANYUASIN,30959,16
KELI REJO,BELITANG II,OGAN KOMERING ULU TIMUR,32383,16
KELUANG,KELUANG,MUSI BANYUASIN,30754,16
KELUANG,TUNGKAL ILIR,BANYUASIN,30959,16
KELUMPANG JAYA,NIBUNG,MUSI RAWAS,31667,16
KELUMPANG,ULU OGAN,OGAN KOMERING ULU,32157,16
KEMALA JAYA,MUARA JAYA,OGAN KOMERING ULU,32155,16
KEMALA RAJA,BATURAJA TIMUR,OGAN KOMERING ULU,32111,16
KEMAN,PAMPANGAN,OGAN KOMERING ILIR,30654,16
KEMANG AGUNG,KERTAPATI,PALEMBANG,30258,16
KEMANG BANDUNG,MEKAKAU ILIR,OGAN KOMERING ULU SELATAN,32276,16
KEMANG BEJALU,RANTAU BAYUR,BANYUASIN,30968,16
KEMANG INDAH,MESUJI RAYA,OGAN KOMERING ILIR,30681,16
KEMANG MANIS,ILIR BARAT II,PALEMBANG,30144,16
KEMANG MANIS,TEBING TINGGI,EMPAT LAWANG,31453,16
KEMANG,LEMBAK,MUARA ENIM,31171,16
KEMANG,SANGA DESA,MUSI BANYUASIN,30759,16
KEMAS RINDO,KERTAPATI,PALEMBANG,30258,16
KEMBAHANG BARU,TALANG PADANG,EMPAT LAWANG,31596,16
KEMBAHANG LAMA,TALANG PADANG,EMPAT LAWANG,31596,16
KEMBANG AYUN,TANJUNG SAKTI PUMU,LAHAT,31581,16
KEMBANG JAJAR,MESUJI,OGAN KOMERING ILIR,30681,16
KEMBANG TANDUK,RAMBANG KAPAK TENGAH,PRABUMULIH,31131,16
KEMBANG TANJUNG,BATUKUNING LAKITAN ULU (BTS) / CECAR,MUSI RAWAS,31652,16
KEMBANG TINGGI,BUAY PEMACA,OGAN KOMERING ULU SELATAN,32265,16
KEMELAK BINDUNG LANGIT,BATURAJA TIMUR,OGAN KOMERING ULU,32111,16
KEMU ULU,PULAU BERINGIN,OGAN KOMERING ULU SELATAN,32273,16
KEMU,PULAU BERINGIN,OGAN KOMERING ULU SELATAN,32273,16
KEMUNING JAYA,BELITANG II,OGAN KOMERING ULU TIMUR,32383,16
KENALI,BUAY SANDANG AJI,OGAN KOMERING ULU SELATAN,32277,16
KENANGA,LUBUK LINGGAU UTARA DUA (II),LUBUK LINGGAU,31619,16
KENCANA MULIA,RAMBANG,MUARA ENIM,31173,16
KENCANA SARI,KIKIM TIMUR,LAHAT,31452,16
KENTEN LAUT,TALANG KELAPA,BANYUASIN,30961,16
KENTEN,TALANG KELAPA,BANYUASIN,30961,16
KEPAHYANG,LEMPUING,OGAN KOMERING ILIR,30657,16
KEPALA SIRING,KIKIM TENGAH,LAHAT,31452,16
KEPALA SIRING,TANJUNG SAKTI PUMU,LAHAT,31581,16
KEPANDEAN BARU,ILIR TIMUR I,PALEMBANG,30125,16
KEPAYANG,BAYUNG LENCIR,MUSI BANYUASIN,30756,16
KEPAYANG,MEKAKAU ILIR,OGAN KOMERING ULU SELATAN,32276,16
KEPAYANG,PENINJAUAN,OGAN KOMERING ULU,32191,16
KEPUR,MUARA ENIM,MUARA ENIM,31311,16
KEPUTRAAN,LUBUK LINGGAU BARAT DUA (II),LUBUK LINGGAU,31611,16
KERAMASAN,KERTAPATI,PALEMBANG,30259,16
KERAMAT JAYA,SUNGAI KERUH,MUSI BANYUASIN,30757,16
KERANI / KRANI JAYA,NIBUNG,MUSI RAWAS,31667,16
KERINJING,TANJUNG RAJA,OGAN ILIR,30661,16
KEROMONGAN,MARTAPURA,OGAN KOMERING ULU TIMUR,32381,16
KERTA DEWA,RAWAS ULU,MUSI RAWAS,31656,16
KERTA JAYA,SUNGAI KERUH,MUSI BANYUASIN,30757,16
KERTA MUKTI,AIR SUGIHAN,OGAN KOMERING ILIR,30656,16
KERTA MUKTI,MESUJI RAYA,OGAN KOMERING ILIR,30681,16
KERTABAYANG,RANTAU ALAI,OGAN ILIR,30866,16
KERTADEWA,TALANG UBI,MUARA ENIM,31214,16
KERTANEGARA,MADANG SUKU II,OGAN KOMERING ULU TIMUR,32366,16
KERTAPATI,KERTAPATI,PALEMBANG,30258,16
KERTASARI,KARANG DAPO,MUSI RAWAS,31658,16
KERTAYU,SUNGAI KERUH,MUSI BANYUASIN,30757,16
KERTOSARI,PURWODADI,MUSI RAWAS,31668,16
KERTOSONO,JAYA LOKA,MUSI RAWAS,31665,16
KERUNG,PULAU PINANG,LAHAT,31461,16
KESAMBI RATA,PENGANDONAN,OGAN KOMERING ULU,32155,16
KETAPANG I,RANTAU PANJANG,OGAN ILIR,30661,16
